"Who was the first President of the USA?","History","3"
"What year was the Declaration of Independance signed?","History","3"
"Who was the Norse god of Thunder?","History","2"
"What year did World War 1 end?","History","2"
"How old is the earth?","History","1"
"What year did Columbus sail to the New World?","History","1"
"How many legs does an arachnid have?","Science","3"
"What element are diamonds made up of?","Science","3"
"What is an alloy?","Science","2"
"How many planets are in the Solar System?","Science","2"
"How long does light take to reach us from the sun?","Science","1"
"What temperature is absolute 0?","Science","1"
"What is the capitol of Mongolia?","Geography","3"
"How many hours behind GMT is San Francisco?","Geography","3"
"What is the tallest mountain?","Geography","2"
"What is the largest country?","Geography","2"
"How may continents are there?","Geography","1"
"How far is it from New York to San Francisco?","Geography","1"
"What does WWW stand for?","Technology","3"
"How many bits are in a byte?","Technology","3"
"What's the largest number a 32 bit integer can represent?","Technology","2"
"What is Moore's Law?","Technology","2"
"Who invented the telephone?","Technology","1"
"What Normal Form should all databases be normalized to?","Technology","1"
